geoid10,county,namelsad10,city,ngo_section,population,commute,pet,garden_pct,home_value_2012,x,y
48113001101,Dallas County,Census Tract 11.01,Dallas,White Rock/East Dallas,3342,20.2,44.0800018310547,28,"$248,892",-96.7659905365024,32.815684529325
48113012208,Dallas County,Census Tract 122.08,Dallas,White Rock/East Dallas,2760,,24.0499992370605,12.5,$0,-96.7221904394677,32.7997103106758
48439113623,Tarrant County,Census Tract 1136.23,Bedford,,3655,23.2,63.0699996948242,41.1,"$196,271",-97.1158850208921,32.8628555171377
48085030504,Collin County,Census Tract 305.04,Frisco,Allen/Frisco/McKinney,2776,25.7,50.5,35.38,"$510,000",-96.832325702735,33.1032503988508
48113013721,Dallas County,Census Tract 137.21,Carrollton,Carrollton/Farmers Branch/Addison,5940,25.2,60.7599983215332,38.81,"$201,012",-96.8691438531589,32.9769566169536
48397040200,Rockwall County,Census Tract 402,Rockwall,Rockwall/Rowlett,4918,30.2,64.7200012207031,41.17,"$201,964",-96.4432539673434,32.9571309851619
48439104602,Tarrant County,Census Tract 1046.02,Fort Worth,,4936,27.2,40.9500007629395,24.13,"$58,933",-97.2726469767666,32.6991527433265
48439113814,Tarrant County,Census Tract 1138.14,North Richland Hills,,4033,27,58.5299987792969,41.64,"$315,302",-97.1982239094242,32.8992330053763
48113007819,Dallas County,Census Tract 78.19,Dallas,Richardson/Far North Dallas/Lake Highlands,2109,,30.9099998474121,11.61,"$113,333",-96.7594159813993,32.8655736761392
48121021720,Denton County,Census Tract 217.20,Flower Mound,Lewisville/Flower Mound/Highland Village,3157,26.3,58.5200004577637,41.65,"$292,314",-97.0533402347068,33.0660800333235
48121021621,Denton County,Census Tract 216.21,Carrollton,Carrollton/Farmers Branch/Addison,3797,26.2,61.5099983215332,45.5,"$252,407",-96.9221824211379,32.9961275430511
48085030406,Collin County,Census Tract 304.06,Frisco,Allen/Frisco/McKinney,3109,28,41.6800003051758,24.53,"$256,818",-96.8136325078287,33.1311516546971
48121021524,Denton County,Census Tract 215.24,Frisco,Allen/Frisco/McKinney,1856,33.8,61.1399993896484,34.06,"$309,657",-96.8601966285016,33.1115515134579
48113007815,Dallas County,Census Tract 78.15,Dallas,Richardson/Far North Dallas/Lake Highlands,4819,27.6,28.0900001525879,11.98,"$78,319",-96.7567461137923,32.8799481964762
48439113815,Tarrant County,Census Tract 1138.15,Keller,,5771,30,58.5499992370605,41.64,"$366,012",-97.2047420226839,32.9159028904612
48113008400,Dallas County,Census Tract 84,Dallas,White Rock/East Dallas,9908,28.3,43.4799995422363,29.29,"$76,603",-96.7167660652637,32.7759168100406
48121020111,Denton County,Census Tract 201.11,Frisco,Allen/Frisco/McKinney,4200,36.5,58.5400009155273,41.61,"$332,280",-96.8726593157612,33.1724794569869
48439113816,Tarrant County,Census Tract 1138.16,Keller,,5189,30,59.5499992370605,42.92,"$286,472",-97.2362408249926,32.9189806948103
48085031317,Collin County,Census Tract 313.17,Sachse,Garland/Mesquite,8465,29.5,58.560001373291,41.63,"$229,205",-96.593024763115,32.9973617080383
48121021526,Denton County,Census Tract 215.26,Frisco,Allen/Frisco/McKinney,6390,32,59.2900009155273,39.33,"$339,779",-96.8525431568863,33.1647779866164
48113012701,Dallas County,Census Tract 127.01,Dallas,White Rock/East Dallas,6076,26.5,53.3199996948242,31.76,"$81,040",-96.6724361934435,32.8521235558703
48121021527,Denton County,Census Tract 215.27,Frisco,Allen/Frisco/McKinney,6356,32,58.5499992370605,41.62,"$299,872",-96.8773952854444,33.1601851596306
48439113811,Tarrant County,Census Tract 1138.11,North Richland Hills,,3723,22.9,49.1699981689453,28.28,"$108,711",-97.2549254901127,32.8454986406307
48439113102,Tarrant County,Census Tract 1131.02,Arlington,,4491,22.6,38.8600006103516,23.09,"$208,597",-97.1176575094718,32.7909864615856
48113013610,Dallas County,Census Tract 136.10,Dallas,Richardson/Far North Dallas/Lake Highlands,4696,25.6,53.8800010681152,38.13,"$220,357",-96.7776258118868,32.9322572096677
48085031658,Collin County,Census Tract 316.58,Plano,Plano/Murphy/Wylie,4104,22.5,33.8300018310547,21.37,"$347,619",-96.8095265923826,33.0680270585469
48439106101,Tarrant County,Census Tract 1061.01,Fort Worth,,1609,,50.2000007629395,24.02,"$64,100",-97.2507309673819,32.6910482150172
48113005700,Dallas County,Census Tract 57,Dallas,Best Southwest/Oak Cliff/Grand Prairie,4377,,36.310001373291,16.64,"$57,642",-96.799898540189,32.6991476576838
48113000202,Dallas County,Census Tract 2.02,Dallas,White Rock/East Dallas,3485,22,46.060001373291,31.57,"$267,188",-96.7657331834681,32.8318817201354
48113000201,Dallas County,Census Tract 2.01,Dallas,White Rock/East Dallas,2905,20.3,55.5299987792969,36.33,"$294,075",-96.7571634248639,32.8327406230047
